"types"	"tokens"	"wortart"	"genus"
"165"	"Werner"	"Werner"	"NE"	"gsm"
"166"	"Rabus"	"Rabus"	"NE"	"gsm"
"167"	"an"	"an"	"APPR"	"d"
"168"	"zeitgenössisch"	"zeitgenössischer"	"ADJA"	"dsf"
"169"	"Musik"	"Musik"	"NN"	"dsf"
"170"	"und"	"und"	"KON"	"--"
"171"	"eine"	"eine"	"ART"	"nsf"
"172"	"Krise"	"Krise"	"NN"	"nsf"
"173"	"die"	"der"	"ART"	"gsf"
"174"	"Galerie"	"Galerie"	"NN"	"gsf"
"175"	"-"	"-"	"$("	"--"
"176"	"auch"	"auch"	"ADV"	"--"
"177"	"finanziell"	"finanzieller"	"ADJA"	"gsf"
"178"	"Natur"	"Natur"	"NN"	"gsf"
"179"	"."	"."	"$."	"--"
"180"	"da"	"Da"	"ADV"	"--"
"181"	"nahe#liegen"	"lag"	"VVFIN"	"3sit"
"182"	"die"	"die"	"ART"	"nsf"
"183"	"Idee"	"Idee"	"NN"	"nsf"
"184"	"--"	"nahe"	"PTKVZ"	"--"
"185"	","	","	"$,"	"--"
"186"	"in"	"in"	"APPR"	"d"
"187"	"der"	"den"	"ART"	"dpm"
"188"	"wunderbar"	"wunderbaren"	"ADJA"	"dpm"
"189"	"Raum"	"Räumen"	"NN"	"dpm"
"190"	"mit"	"mit"	"APPR"	"d"
"191"	"das"	"dem"	"ART"	"dsn"
"192"	"Oberlicht"	"Oberlicht"	"NN"	"dsn"
"193"	"auch"	"auch"	"ADV"	"--"
"194"	"zeitgenössisch"	"zeitgenössische"	"ADJA"	"asf"
"195"	"Kammermusik"	"Kammermusik"	"NN"	"asf"
"196"	"auf#führen"	"aufzuführen"	"VVIZU"	"--"
"197"	"."	"."	"$."	"--"
"198"	"ohne"	"Ohne"	"APPR"	"a"
"199"	"Etat"	"Etat"	"NN"	"asm"
"200"	"müssen%aux"	"muß"	"VMFIN"	"3sis"
"201"	"man"	"man"	"PIS"	"ns*"
"202"	"da"	"da"	"ADV"	"--"
"203"	"erfinderisch"	"erfinderisch"	"ADJD"	"--"
"204"	"sein"	"sein"	"VAINF"	"--"
"205"	":"	":"	"$."	"--"
"206"	"ein"	"Ein"	"ART"	"nsn"
"207"	"attraktiv"	"attraktives"	"ADJA"	"nsn"
"208"	"Abonnementsystem"	"Abonnementsystem"	"NN"	"nsn"
"209"	","	","	"$,"	"--"
"210"	"Radio-Mitschnitt"	"Radio-Mitschnitte"	"NN"	"npm"
"211"	","	","	"$,"	"--"
"212"	"Vermietung"	"Vermietungen"	"NN"	"npf"
"213"	"auch"	"auch"	"ADV"	"--"
"214"	"für"	"für"	"APPR"	"a"
"215"	"ander"	"andere"	"ADJA"	"apm"
"216"	"Zweck"	"Zwecke"	"NN"	"apm"
"217"	"und"	"und"	"KON"	"--"
"218"	"immer"	"immer"	"ADV"	"--"
"219"	"auch"	"auch"	"ADV"	"--"
"220"	"Verhandlung"	"Verhandlungen"	"NN"	"npf"
"221"	"mit"	"mit"	"APPR"	"d"
"222"	"der"	"den"	"ART"	"dpm"
"223"	"Künstler"	"Künstlern"	"NN"	"dpm"
"224"	"erlauben"	"erlaubten"	"VVFIN"	"3pit"
"225"	"es"	"es"	"PPER"	"asn3"
"226"	"immerhin"	"immerhin"	"ADV"	"--"
"227"	","	","	"$,"	"--"
"228"	"in"	"im"	"APPRART"	"dsm"
"229"	"Lauf"	"Laufe"	"NN"	"dsm"
"230"	"das"	"der"	"ART"	"gpn"
"231"	"Jahr"	"Jahre"	"NN"	"gpn"
"232"	"die"	"die"	"ART"	"asf"
"233"	"Anzahl"	"Anzahl"	"NN"	"asf"
"234"	"das"	"der"	"ART"	"gpn"
"235"	"Konzert"	"Konzerte"	"NN"	"gpn"
"236"	"ständig"	"ständig"	"ADJD"	"--"
"237"	"zu"	"zu"	"PTKZU"	"--"
"238"	"steigern"	"steigern"	"VVINF"	"--"
"239"	"."	"."	"$."	"--"
"240"	"seit"	"Seit"	"APPR"	"d"
"241"	"1991"	"1991"	"CARD"	"--"
"242"	"sein"	"ist"	"VAFIN"	"3sis"
"243"	"die"	"die"	"ART"	"nsf"
"244"	"Projektgruppe"	"projektgruppe"	"NN"	"nsf"
"245"	"neu"	"neue"	"ADJA"	"nsf"
"246"	"Musik"	"musik"	"NN"	"nsf"
"247"	"mit"	"mit"	"APPR"	"d"
"248"	"ihr"	"ihren"	"PPOSAT"	"dpn"
"249"	"jährlich"	"jährlichen"	"ADJA"	"dpn"
"250"	"Festival"	"Festivals"	"NN"	"dpn"
"251"	"dort"	"dort"	"ADV"	"--"
"252"	"zu"	"zu"	"APPR"	"d"
"253"	"Gast"	"Gast"	"NN"	"dsm"
"254"	","	","	"$,"	"--"
"255"	"von"	"von"	"APPR"	"d"
"256"	"dessen|deren"	"deren"	"PRELAT"	"gp*"
"257"	"KünstlerIn"	"KünstlerInnen"	"NN"	"dp*"
"258"	"viele"	"viele"	"PIS"	"np*"
"259"	"zu"	"zu"	"APPR"	"d"
"260"	"Katrin"	"Katrin"	"NE"	"dsf"
"261"	"Rabus"	"Rabus"	"NE"	"dsf"
"262"	"wieder#kommen"	"wiedergekommen"	"VVPP"	"--"
"263"	"sein%aux"	"sind"	"VAFIN"	"3pis"
"264"	"."	"."	"$."	"--"
"265"	"auch"	"Auch"	"ADV"	"--"
"266"	"Dacapo"	"Dacapo"	"NE"	"nsm"
"267"	"und"	"und"	"KON"	"--"
"268"	"die"	"die"	"ART"	"nsf"
"269"	"deutsch"	"Deutsche"	"ADJA"	"nsf"
"270"	"Kammerphilharmonie"	"Kammerphilharmonie"	"NN"	"nsf"
"271"	"veranstalten"	"veranstalten"	"VVFIN"	"3pis"
"272"	"dort"	"dort"	"ADV"	"--"
"273"	"Konzert"	"Konzerte"	"NN"	"apn"
"274"	":"	":"	"$."	"--"
"275"	"stets"	"Stets"	"ADV"	"--"
"276"	"sein"	"sind"	"VAFIN"	"3pis"
"277"	"es"	"es"	"PPER"	"nsn3"
"278"	"Interpret"	"Interpreten"	"NN"	"npm"
"279"	","	","	"$,"	"--"
"280"	"dessen|deren"	"deren"	"PRELAT"	"gp*"
"281"	"Name"	"Namen"	"NN"	"npm"
"282"	"allererst"	"allererste"	"ADJA"	"asf"
"283"	"Qualität"	"Qualität"	"NN"	"asf"
"284"	"garantieren"	"garantierten"	"VVFIN"	"3pit"
"285"	"."	"."	"$."	"--"
"286"	"so"	"So"	"ADV"	"--"
"287"	"können%aux"	"konnte"	"VMFIN"	"3sit"
"288"	"Katrin"	"Katrin"	"NE"	"nsf"
"289"	"Rabus"	"Rabus"	"NE"	"nsf"
"290"	"langsam"	"langsam"	"ADJD"	"--"
"291"	"\""	"\""	"$("	"--"
"292"	"ihr"	"ihren"	"PPOSAT"	"asm"
"293"	"\""	"\""	"$("	"--"
"294"	"MalerInnen-Kundenstamm"	"MalerInnen-Kundenstamm"	"NN"	"asm"
"295"	"zu"	"zum"	"APPRART"	"dsn"
"296"	"Hören"	"Hören"	"NN"	"dsn"
"297"	"von"	"von"	"APPR"	"d"
"298"	"Musik"	"Musik"	"NN"	"dsf"
"299"	"verführen"	"verführen"	"VVINF"	"--"
"300"	","	","	"$,"	"--"
"301"	"der|die|das"	"die"	"ART"	"ap*"
"302"	"MusikerIn"	"MusikerInnen"	"NN"	"ap*"
"303"	"zu"	"zum"	"APPRART"	"dsn"
"304"	"Betrachten"	"Betrachten"	"NN"	"dsn"
"305"	"das"	"der"	"ART"	"gpn"
"306"	"Bild"	"Bilder"	"NN"	"gpn"
"307"	"veranlassen"	"veranlassen"	"VVINF"	"--"
"308"	"."	"."	"$."	"--"
"309"	"und"	"Und"	"KON"	"--"
"310"	"immer"	"immer"	"ADV"	"--"
"311"	"mehr"	"mehr"	"ADV"	"--"
"312"	"haben%aux"	"hat"	"VAFIN"	"3sis"
"313"	"#refl"	"sich"	"PRF"	"as*3"
"314"	"die"	"die"	"ART"	"nsf"
"315"	"Idee"	"Idee"	"NN"	"nsf"
"316"	"verfestigen"	"verfestigt"	"VVPP"	"--"
"317"	","	","	"$,"	"--"
"318"	"wie"	"wie"	"PWAV"	"--"
"319"	"viel"	"viel"	"PIS"	"***"
"320"	"die"	"die"	"ART"	"npf"
"321"	"beide"	"beiden"	"PIDAT"	"npf"
"322"	"Schwesternkunst"	"Schwesternkünste"	"NN"	"npf"
"323"	"miteinander"	"miteinander"	"ADV"	"--"
"324"	"zu"	"zu"	"PTKZU"	"--"
"325"	"tun"	"tun"	"VVINF"	"--"
"326"	"haben%aux"	"haben"	"VAFIN"	"3pis"
"327"	":"	":"	"$."	"--"
"328"	"\""	"\""	"$("	"--"
"329"	"die"	"Die"	"ART"	"nsf"
"330"	"Musik"	"Musik"	"NN"	"nsf"
"331"	"sein"	"ist"	"VAFIN"	"3sis"
"332"	"wie"	"wie"	"KOKOM"	"--"
"333"	"die"	"die"	"ART"	"nsf"
"334"	"Malerei"	"Malerei"	"NN"	"nsf"
"335"	"\""	"\""	"$("	"--"
"336"	","	","	"$,"	"--"
"337"	"nennen"	"nennt"	"VVFIN"	"3sis"
"338"	"sie"	"sie"	"PPER"	"nsf3"
"339"	"denn"	"denn"	"ADV"	"--"
"340"	"auch"	"auch"	"ADV"	"--"
"341"	"ganz"	"ganz"	"ADV"	"--"
"342"	"lapidar"	"lapidar"	"ADJD"	"--"
"343"	"ihr"	"ihr"	"PPOSAT"	"asn"
"344"	"Festival"	"Festival"	"NN"	"asn"
"345"	"."	"."	"$."	"--"
"346"	"trotzdem"	"Trotzdem"	"PROP"	"--"
"347"	"wollen"	"will"	"VMFIN"	"3sis"
"348"	"Katrin"	"Katrin"	"NE"	"nsf"
"349"	"Rabus"	"Rabus"	"NE"	"nsf"
"350"	"eines"	"eines"	"PIS"	"asn"
"351"	"nicht"	"nicht"	"PTKNEG"	"--"
"352"	":"	":"	"$."	"--"
"353"	"thematisch"	"Thematische"	"ADJA"	"apf"
"354"	"Korrespondenz"	"Korrespondenzen"	"NN"	"apf"
"355"	"vor#geben"	"vorgeben"	"VVINF"	"--"
"356"	","	","	"$,"	"--"
"357"	"überhaupt"	"überhaupt"	"ADV"	"--"
"358"	"in"	"in"	"APPR"	"d"
"359"	"irgendeine"	"irgendeiner"	"PIAT"	"dsf"
"360"	"Weise"	"Weise"	"NN"	"dsf"
"361"	"didaktisch"	"didaktisch"	"ADJD"	"--"
"362"	"sein"	"sein"	"VAINF"	"--"
"363"	"."	"."	"$."	"--"
"364"	"Selbsterkenntnis"	"Selbsterkenntnis"	"NN"	"asf"
"365"	"und"	"und"	"KON"	"--"
"366"	"subjektiv"	"subjektives"	"ADJA"	"asn"
"367"	"Empfinden"	"Empfinden"	"NN"	"asn"
"368"	"wollen%aux"	"will"	"VMFIN"	"3sis"
"369"	"sie"	"sie"	"PPER"	"nsf3"
"370"	"fördern"	"fördern"	"VVINF"	"--"
"371"	"und"	"und"	"KON"	"--"
"372"	"das"	"das"	"PDS"	"asn"
"373"	"in"	"im"	"APPRART"	"dsn"
"374"	"Gespräch"	"Gespräch"	"NN"	"dsn"
"375"	"mit"	"mit"	"APPR"	"d"
"376"	"MalerIn"	"MalerInnen"	"NN"	"dp*"
"377"	","	","	"$,"	"--"
"378"	"KomponistIn"	"KomponistInnen"	"NN"	"dp*"
"379"	"und"	"und"	"KON"	"--"
"380"	"InterpretIn"	"InterpretInnen"	"NN"	"dp*"
"381"	"."	"."	"$."	"--"
"382"	"und"	"Und"	"KON"	"--"
"383"	"wenn"	"wenn"	"KOUS"	"--"
"384"	"nicht"	"nicht"	"PTKNEG"	"--"
"385"	"alle"	"alle"	"PIS"	"np*"
"386"	","	","	"$,"	"--"
"387"	"so"	"so"	"ADV"	"--"
"388"	"werden%aux"	"werden"	"VAFIN"	"3pis"
"389"	"doch"	"doch"	"ADV"	"--"
"390"	"viele"	"viele"	"PIS"	"np*"
"391"	"an"	"am"	"APPRART"	"dsn"
"392"	"Wochenende"	"Wochenende"	"NN"	"dsn"
"393"	"zu"	"zum"	"APPRART"	"dsm"
"394"	"Veranstaltungsmarathon"	"Veranstaltungsmarathon"	"NN"	"dsm"
"395"	"nach"	"nach"	"APPR"	"d"
"396"	"zwanzig"	"zwanzig"	"CARD"	"--"
"397"	"Jahr"	"Jahren"	"NN"	"dpn"
"398"	"kommen"	"kommen"	"VVINF"	"--"
"399"	"."	"."	"$."	"--"
"400"	"25"	"25"	"CARD"	"--"
"401"	"Bild"	"Bilder"	"NN"	"apn"
"402"	"geben"	"gibt"	"VVFIN"	"3sis"
"403"	"es"	"es"	"PPER"	"nsn3"
"404"	"zu"	"zu"	"PTKZU"	"--"
"405"	"sehen"	"sehen"	"VVINF"	"--"
"406"	","	","	"$,"	"--"
"407"	"darunter"	"darunter"	"PROP"	"--"
"408"	"von"	"von"	"APPR"	"d"
"409"	"altbekannt"	"altbekannten"	"ADJA"	"dp*"
"410"	"KünstlerIn"	"KünstlerInnen"	"NN"	"dp*"
"411"	"wie"	"wie"	"KOKOM"	"--"
"412"	"Rupprecht"	"Rupprecht"	"NE"	"dsm"
"413"	"Geiger"	"Geiger"	"NE"	"dsm"
"414"	","	","	"$,"	"--"
"415"	"Raimund"	"Raimund"	"NE"	"dsm"
"416"	"Girke"	"Girke"	"NE"	"dsm"
"417"	","	","	"$,"	"--"
"418"	"Jerry"	"Jerry"	"NE"	"dsm"
"419"	"Zeniuk"	"Zeniuk"	"NE"	"dsm"
"420"	","	","	"$,"	"--"
"421"	"Antonio"	"Antonio"	"NE"	"dsm"
"422"	"Scaccabarozzi"	"Scaccabarozzi"	"NE"	"dsm"
"423"	","	","	"$,"	"--"
"424"	"Malte"	"Malte"	"NE"	"dsm"
"425"	"Spohr"	"Spohr"	"NE"	"dsm"
"426"	"und"	"und"	"KON"	"--"
"427"	"Otto"	"Otto"	"NE"	"dsm"
"428"	"Greis"	"Greis"	"NE"	"dsm"
"429"	"."	"."	"$."	"--"
"430"	"für"	"Für"	"APPR"	"a"
"431"	"das"	"die"	"ART"	"apn"
"432"	"Konzert"	"Konzerte"	"NN"	"apn"
"433"	"haben"	"hat"	"VAFIN"	"3sis"
"434"	"man"	"man"	"PIS"	"ns*"
"435"	"die"	"die"	"ART"	"asf"
"436"	"Qual"	"Qual"	"NN"	"asf"
"437"	"die"	"der"	"ART"	"gsf"
"438"	"Wahl"	"Wahl"	"NN"	"gsf"
"439"	":"	":"	"$."	"--"
"440"	"das"	"Das"	"ART"	"nsn"
"441"	"Freiburger"	"Freiburger"	"ADJA"	"***"
"442"	"Ensemble"	"Ensemble"	"NE"	"nsn"
"443"	"Recherche"	"Recherche"	"NE"	"nsn"
"444"	"spielen"	"spielt"	"VVFIN"	"3sis"
"445"	"Wolfgang"	"Wolfgang"	"NE"	"gsm"
"446"	"Rihm"	"Rihms"	"NE"	"gsm"
"447"	"\""	"\""	"$("	"--"
"448"	"Musik"	"Musik"	"NN"	"nsf"
"449"	"für"	"für"	"APPR"	"a"
"450"	"drei"	"drei"	"CARD"	"--"
"451"	"Streicher"	"Streicher"	"NN"	"apm"
"452"	"\""	"\""	"$("	"--"
"453"	"("	"("	"$("	"--"
"454"	"Fr."	"Fr."	"NN"	"nsm"
"455"	","	","	"$,"	"--"
"456"	"20"	"20"	"CARD"	"--"
"457"	"Uhr"	"Uhr"	"NN"	"nsf"
"458"	")"	")"	"$("	"--"
"459"	"und"	"und"	"KON"	"--"
"460"	"\""	"\""	"$("	"--"
"461"	"Piano"	"Piano"	"NN"	"nsn"
"462"	","	","	"$,"	"--"
"463"	"Violin"	"Violin"	"NN"	"nsn"
"464"	","	","	"$,"	"--"
"465"	","	","	"$,"	"--"
"466"	"Viola"	"Viola"	"NN"	"nsf"
"467"	","	","	"$,"	"--"
"468"	"Cello"	"Cello"	"NN"	"nsn"
"469"	"\""	"\""	"$("	"--"
"470"	"von"	"von"	"APPR"	"d"
"471"	"Morton"	"Morton"	"NE"	"dsm"
"472"	"Feldman"	"Feldman"	"NE"	"dsm"
"473"	"("	"("	"$("	"--"
"474"	"Fr."	"Fr."	"NN"	"nsm"
"475"	","	","	"$,"	"--"
"476"	"22"	"22"	"CARD"	"--"
"477"	"Uhr"	"Uhr"	"NN"	"nsf"
"478"	")"	")"	"$("	"--"
"479"	"."	"."	"$."	"--"
"480"	"es"	"Es"	"PPER"	"****"
"481"	"sein%aux"	"sind"	"VAFIN"	"3pis"
"482"	"ausschließlich"	"ausschließlich"	"ADV"	"--"
"483"	"KomponistIn"	"KomponistInnen"	"NN"	"np*"
"484"	"vertreten"	"vetreten"	"VVPP"	"--"
"485"	","	","	"$,"	"--"
"486"	"der|die|das"	"die"	"PRELS"	"np*"
"487"	"jetzt"	"jetzt"	"ADV"	"--"
"488"	"schon"	"schon"	"ADV"	"--"
"489"	"\""	"\""	"$("	"--"
"490"	"Musikgeschichte"	"Musikgeschichte"	"NN"	"asf"
"491"	"\""	"\""	"$("	"--"
"492"	"machen"	"gemacht"	"VVPP"	"--"
"493"	"haben%aux"	"haben"	"VAFIN"	"3pis"
"494"	"("	"("	"$("	"--"
"495"	"Sa."	"Sa."	"NN"	"nsm"
"496"	","	","	"$,"	"--"
"497"	"15"	"15"	"CARD"	"--"
"498"	"-"	"-"	"KON"	"--"
"499"	"19"	"19"	"CARD"	"--"
"500"	"Uhr"	"Uhr"	"NN"	"nsf"
"501"	":"	":"	"$."	"--"
"502"	"Stefan"	"Stefan"	"NE"	"nsm"
"503"	"Huber"	"Huber"	"NE"	"nsm"
"504"	","	","	"$,"	"--"
"505"	"Roman"	"Roman"	"NE"	"nsm"
"506"	"Haubenstock-Ramati"	"Haubenstock-Ramati"	"NE"	"nsm"
"507"	","	","	"$,"	"--"
"508"	"Stefan"	"Stefan"	"NE"	"nsm"
"509"	"Wolpe"	"Wolpe"	"NE"	"nsm"
"510"	","	","	"$,"	"--"
"511"	"Younghi"	"Younghi"	"NE"	"nsm"
"512"	"Pagh-Paan"	"Pagh-Paan"	"NE"	"nsm"
"513"	","	","	"$,"	"--"
"514"	"Helmut"	"Helmut"	"NE"	"nsm"
"515"	"Lachenmann"	"Lachenmann"	"NE"	"nsm"
"516"	";"	";"	"$."	"--"
"517"	"So."	"So."	"NN"	"nsm"
"518"	","	","	"$,"	"--"
"519"	"11"	"11"	"CARD"	"--"
"520"	"Uhr"	"Uhr"	"NN"	"nsf"
"521"	":"	":"	"$."	"--"
"522"	"Stockhausen"	"Stockhausen"	"NE"	"nsm"
"523"	","	","	"$,"	"--"
"524"	"Varese"	"Varese"	"NE"	"nsm"
"525"	","	","	"$,"	"--"
"526"	"Berio"	"Berio"	"NE"	"nsm"
"527"	","	","	"$,"	"--"
"528"	"Lachenmann"	"Lachenmann"	"NE"	"nsm"
"529"	","	","	"$,"	"--"
"530"	"Nono"	"Nono"	"NE"	"nsm"
"531"	","	","	"$,"	"--"
"532"	"Bernd-Alois"	"Bernd-Alois"	"NE"	"nsm"
"533"	"Zimmermann"	"Zimmermann"	"NE"	"nsm"
"534"	")"	")"	"$("	"--"
